Calories,FAT (g),CHO (g),PRO (g),Water (oz),Expected Volume (reps*sets*lbs),Actual Volume (reps*sets*lbs),Work Fraction,
2489,194,42,143,96,5400,5400,1.0000,
1580,146,44,84,60,6000,5960,0.9933,
2464,199,90,148,116,4440,4120,0.9279,
3482,252,83,229,105,5400,6150,1.1389,
2853,227,70,160,64,6000,6750,1.1250,
3669,273,169,174,96,4440,4200,0.9459,
2940,195,154,190,96,5400,5400,1.0000,
2628,150,192,163,92,6000,5370,0.8950,
1808,145,111,83,78,4440,4950,1.1149,
3146,228,189,153,64,5400,6150,1.1389,
3666,259,242,159,84,6000,6750,1.1250,
3258,196,178,195,100,6000,6120,1.0200,
3217,193,180,226,108,5400,5400,1.0000,
2775,176,189,141,84,4440,3465,0.7804,
2851.5,179,182.5,183.25,94,5400,4050,0.7500,
3472,199,257,225,128,4440,3150,0.7095,
3021,200,213,165,112,5640,5720,1.0142,
3271,212,246,166,100,4200,4280,1.0190,
2386,140,105,169,126,5640,6150,1.0904,
2545,147,138,175,96,6360,5400,0.8491,
3077,195,149,195,102,5640,5400,0.9574,
3395,215,149,226,90,4200,4200,1.0000,
1910,106,163,89,96,5640,6150,1.0904,
2154.5,113,147.5,166.5,32,4200,3960,0.9429,
2605,139,167,210,110,6360,4500,0.7075,
2586,169,128,148,80,4200,4025,0.9583,
3217,188,184,226,74,6360,4500,0.7075,
